link_id,swat_sub,feature,to_node,us_area,contrib_area,slope,link_len,wetland_area,fainN,fainC,routing_depth,is_hw,pEM
481,8,1,493,3203100,3203100,0.014688,197.11,0,0.52153,0.017676,28,1,0
482,12,1,458,1120291200,5138100,0.002068,4441.4,0,0.33248,0.32169,10,0,0
483,10,1,-1,2879883000,954000,0.000417,1644.4,0,0.030573,0.27548,0,0,0
484,8,1,470,129852000,2583900,0.000575,1860,0,0.36575,0.048967,26,0,0
485,8,1,484,120307500,3600,0.002056,62.14,0,0.069964,0.93004,27,0,0
486,12,1,487,1098693900,2362500,0.000737,2668.3,0,0.18716,0.28069,12,0,0
487,12,1,482,1100075400,1381500,0.001552,2652,0,0.23612,0.49911,11,0,0
488,7,1,489,967405500,3273300,0.000167,4539,0,0.35128,0.11748,16,0,0
489,7,1,499,970113600,2708100,0.000858,4591.1,0,0.48217,0.18435,15,0,0
490,7,1,499,108657000,261000,0.000878,614.06,0,0.38609,0.24903,15,0,0
491,7,1,490,3933000,3933000,0.010665,1336.5,0,0.4023,0.029122,16,1,0
492,16,1,470,12969000,12969000,0.001779,3352.3,0,0.54029,0.047456,26,1,0
493,8,1,484,6960600,2780100,0.001175,2624.2,0,0.35691,0.070306,27,0,0
494,12,1,482,15077700,655200,0.011827,1329.2,0,0.51139,0.35345,11,0,0
495,12,1,494,4097700,234900,0.002097,593.68,0,0.90812,0.091879,12,0,0
496,12,1,486,7136100,5079600,0.017136,1160,0,0.56123,0.028011,13,0,0
497,12,1,597,3358800,1122300,0.003746,1368.9,0,0.661,0.053114,14,0,0
498,3,1,609,1044000,487800,0.005242,1129.2,0,8.20E-12,0,27,0,0
499,7,1,500,1082741400,3970800,0.000595,4972.5,0,0.1744,0.22418,14,0,0
500,12,1,486,1089195300,6453900,0.001255,4919.5,0,0.17331,0.12811,13,0,0
501,1,1,621,5742900,61200,0.001651,406.34,0,0.48389,0.51611,37,0,0
502,6,1,515,3146400,3146400,0.010383,810.74,0,0.73381,0.16655,35,1,0
503,9,1,505,7707600,7101900,0.002279,3641.7,0,0.63812,0.034792,37,0,0
504,6,1,515,19832400,6876000,0.000746,3895.3,0,0.56113,0.08447,35,0,0
505,6,1,504,12956400,5248800,0.001765,3514.4,0,0.087324,0.027542,36,0,0
506,12,1,494,10324800,2741400,0.003839,1882.6,0,0.38222,0.084657,12,0,0
507,7,1,490,104463000,2034000,0.002172,2531.5,0,0.66192,0.17377,16,0,0
508,3,1,607,14488200,2333700,0.000247,1373.3,0,0.072782,0.021559,25,0,0
509,7,1,512,3506400,3506400,0.001788,2341.9,0,0.26658,0.015697,19,1,0
510,7,1,507,95037300,375300,0.002552,1187.8,0,0.55123,0.14182,17,0,0
511,8,1,613,2037600,427500,0.007663,765.93,0,0.7037,0.22584,29,0,0
512,7,1,510,66893400,12695400,0.003213,3572.6,0,0.58526,0.040072,18,0,0
513,8,1,613,1072800,163800,0.009363,609.92,0,0,1.83E-13,29,0,0
514,1,1,516,8161200,1413900,0.008374,2066.1,0,0.68439,0.28863,35,0,0
515,6,1,525,26423100,3444300,0.001886,3508.3,0,0.42206,0.085059,34,0,0
516,1,1,525,17017200,77400,0.00345,357.59,0,0.60096,0.30601,34,0,0
517,12,1,518,4176900,2155500,0.000119,2705.7,0,0.34763,0.086569,15,0,0
518,12,1,599,7416000,3239100,0.004144,2734.2,0,0.15039,0.013922,14,0,0
519,1,1,520,4725900,4725900,0.003639,3214.7,0,0.56628,0.042327,36,1,0
520,1,1,516,8778600,4052700,0.005253,2827.8,0,0.8519,0.067534,35,0,0
521,5,1,522,5971500,5971500,0.000778,2724.9,0,0.43925,0.048468,30,1,0
522,5,1,613,8773200,2801700,0.001527,2658.1,0,0.35888,0.063132,29,0,0
523,1,1,619,1050300,139500,0.000886,457.54,0,0.14267,0.031523,32,0,0
524,8,1,613,5378400,5378400,0.00848,2753.8,0,0.43643,0.086545,29,1,0
525,1,1,618,44352000,911700,0.001343,1692.5,0,0.54087,0.21933,33,0,0
526,7,1,512,50691600,1730700,0.001699,2337.9,0,0.54979,0.045196,19,0,0
527,7,1,507,7391700,7391700,0.002175,4001,0,0.19328,0.013503,17,1,0
528,2,1,608,18801900,733500,0.0001,437.72,0,0.035725,0.023998,23,0,0
529,1,1,533,45119700,216000,0.001243,245.18,0,0.13637,0.042945,31,0,0
530,4,1,510,27768600,5221800,0.00185,3212,0,0.12143,0.062704,18,0,0
531,1,1,533,2188800,1514700,0.001856,2459.4,0,0.10708,0.00017021,31,0,0
532,1,1,536,3453300,1752300,0.003692,2067.4,0,0.31639,0.10068,30,0,0
533,1,1,536,50760000,3451500,0.001967,3338.3,0,0.37726,0.08661,30,0,0
534,7,1,606,45903600,1238400,0.002622,801.84,0,0.5193,0.01355,21,0,0
535,8,1,613,16373700,256500,0.000287,827.79,0,0.0031457,0.046759,29,0,0
536,1,1,613,55094400,881100,0.00046,1160.6,0,0.36771,0.082852,29,0,0
537,8,1,615,4469400,2376000,0.002713,2326,0,0.70869,0.085739,31,0,0
538,2,1,608,1463400,148500,0.003286,497.59,0,0.05178,0.17183,23,0,0
539,8,1,613,4827600,216900,0.000689,450.42,0,0.0039634,0.18419,29,0,0
540,66,1,208,281576700,1279800,0.0001,1661.4,0,0.13229,0.070246,25,0,0
541,42,2,356,11841300,540900,0.0001,243.7,59387,0.11901,0.0046115,13,0,95.555
542,42,2,285,11190600,2158200,0.0001,434.56,188850,0.033638,0.033262,15,0,49.371
543,64,2,213,7217100,1418400,0.0001,280.99,78954,0.85298,0.04097,20,0,100
544,64,2,133,2640600,2640600,0.0001,430.9,185670,0.54753,0.027242,22,1,50.683
545,73,3,139,12007800,12007800,0.0001,2380.1,5665000,0.41361,0.067029,21,1,1.9642
546,61,2,176,2712600,2712600,0.0001,106.01,11239,0.010967,0.0064563,24,1,32.553
547,76,2,132,3635100,3635100,0.0001,294.81,86911,0.93656,0,29,1,100
548,79,2,118,1477800,1477800,0.0001,696.17,484660,1.35E-12,0,23,1,64.315
549,79,3,98,2410200,2410200,0.0001,1035.1,1071400,0.23564,0.16494,25,1,21.028
550,76,2,120,3691800,738000,0.0001,346.05,119750,0.56714,0.098537,30,0,22.628
551,76,2,73,2915100,2915100,0.0001,422.01,178090,0.65489,0,32,1,96.823
552,93,2,53,60037200,15259500,0.0001,2314.6,5357500,0.42925,0.061719,28,0,60.963
553,98,2,29,9134100,9134100,0.0001,949.19,900970,0.65497,0.0635,30,1,66.682
554,101,2,11,511200,511200,0.0001,424.4,180110,0.63675,0,31,1,67.021
555,81,2,110,6600600,1069200,0.0001,531.32,282300,0.089884,0.023758,29,0,29.816
556,81,2,109,1582200,1582200,0.0001,293.75,86288,0.87355,0,31,1,74.908
557,82,2,66,734400,734400,0.0001,476.7,227250,0.7359,0,32,1,88.614
558,90,2,46,2385900,2385900,0.0001,573.59,329010,0.7142,0,31,1,97.95
559,77,2,136,537750,537750,0.0001,374.13,139970,0.098403,0,32,1,100
560,77,3,128,140276700,14489550,0.0001,2812.4,7909800,0.26859,0.0021248,30,0,23.766
561,86,2,72,4759200,4759200,0.0001,639.46,408910,0.25839,0,33,1,49.239
562,91,2,49,5625900,5625900,0.0001,638.46,407630,0.52025,0.016453,36,1,72.949
563,91,3,32,3303000,3303000,0.0001,605.21,366280,0.52663,0,39,1,42.004
564,70,2,148,1130400,1130400,0.0001,374.4,140170,5.31E-12,0,30,1,99.319
565,12,2,437,996300,996300,0.0001,106.15,11267,0.67755,0.059152,11,1,88.98
566,40,2,297,2381400,2381400,0.0001,361.77,130880,0.78162,0.0031485,19,1,100
567,40,2,301,3097800,3097800,0.0001,805.07,648140,0.59719,0.073246,18,1,58.714
568,28,3,306,5229900,5229900,0.0001,1115.6,1244500,0.60402,0.028649,18,1,29.251
569,40,3,231,4490100,4490100,0.0001,923.59,853020,0.39914,0.01212,22,1,36.452
570,40,2,207,12065400,3450600,0.0001,816.97,667440,0.029955,0.0020117,24,0,33.986
571,54,2,227,3731400,3731400,0.0001,889.88,791890,0.55218,0,29,1,83.926
572,66,2,182,3787200,3787200,0.0001,347.41,120690,0.43907,0,26,1,80.258
573,57,2,226,1167300,1167300,0.0001,352.42,124200,0,0,30,1,100
574,52,2,261,9814500,9814500,0.0001,1065.9,1136100,0.71542,0.012908,28,1,99.205
575,67,2,171,11914200,11914200,0.0001,585.23,342490,0.3841,0.0077765,29,1,75.981
576,66,3,174,42623100,1261800,0.0001,558.65,312090,0.20697,0,27,0,7.0346
577,66,2,140,11948400,11948400,0.0001,1206.7,1456200,0.49256,0,29,1,69.478
578,70,2,137,2158200,2158200,0.0001,257.74,66430,0.70004,0,33,1,88.759
579,70,2,138,1348200,1348200,0.0001,262.42,68865,0.66899,0.036208,33,1,97.12
580,71,2,192,6933600,6933600,0.0001,901.8,813240,0.21297,0.041012,34,1,65.769
581,83,2,84,1532700,1532700,0.0001,736.46,542370,0.47222,0.052348,40,1,43.067
582,96,3,43,31068900,24471000,0.0001,3108.4,9662400,0.25182,0.05596,40,0,11.73
583,100,2,23,4557600,4557600,0.0001,233.8,54661,0.77954,0.0086294,44,1,62.941
584,103,2,2,753300,753300,0.0001,232.26,53945,0.75108,0.045339,43,1,100
585,103,2,1,1261800,1261800,0.0001,410.36,168390,1.66E-12,0,43,1,53.95
586,43,2,271,1675800,1675800,0.0001,297.88,88735,0.46125,0,36,1,100
587,45,2,262,4236300,4236300,0.0001,435.36,189540,0.88091,0.013213,31,1,96.218
588,41,3,296,10653300,5165100,0.0001,1313.2,1724500,0.16903,0.025551,33,0,24.414
589,43,3,274,3760200,2162700,0.0001,818.04,669180,0.58966,0.019011,34,0,30.613
590,43,2,268,1551600,1551600,0.0001,482.84,233130,0.033643,0,36,1,93.129
591,38,2,321,4215600,4215600,0.0001,452.6,204850,0.60058,0.032186,30,1,71.292
592,38,2,302,1140300,1140300,0.0001,396.97,157590,5.26E-12,0,29,1,100
593,36,2,358,1558800,1558800,0.0001,199.83,39932,0.81818,0,26,1,100
594,37,3,305,165413700,3388500,0.0001,1101.9,1214100,0.50384,0,24,0,26.38
595,35,3,339,2034900,2034900,0.0001,776.75,603340,0.59402,0.046495,23,1,19.075
596,35,3,364,14530500,1502100,0.0001,654.39,428230,0.63955,0,20,0,31.519
597,12,2,495,3862800,504000,0.0001,271.42,73666,0.4222,0.013907,13,0,61.577
598,12,2,497,2236500,2236500,0.0001,347.48,120740,0.19973,0.03485,15,1,100
599,12,2,506,7583400,167400,0.0001,162.67,26460,0.023589,0.061736,13,0,100
600,12,2,517,2021400,2021400,0.0001,672.13,451750,0.29175,0,16,1,81.607
601,12,2,496,2056500,2056500,0.0001,703.75,495270,0.40415,0,14,1,49.378
602,7,2,435,228600,228600,0.0001,307.78,94729,0.58246,0,20,1,89.233
603,24,2,415,24449400,9755100,0.0001,1542.6,2379800,0.57352,0.011057,21,0,79.11
604,4,2,530,22546800,22546800,0.0001,2705.6,7320200,0.41317,0.009922,19,1,52.205
605,3,2,498,556200,556200,0.0001,413.47,170960,3.60E-12,0,28,1,85.856
606,7,3,526,48960900,3057300,0.0001,639.08,408420,0.030378,0,20,0,28.762
607,3,2,528,18068400,3580200,0.0001,864.33,747070,0.40627,0,24,0,98.492
608,2,3,534,44665200,24399900,0.0001,2823,7969300,0.11463,0.032167,22,0,15.087
609,3,2,508,12154500,11110500,0.0001,1828,3341400,0.42175,0.037299,26,0,49.333
610,2,2,538,1314900,1314900,0.0001,433.28,187730,0,0,24,1,77.243
611,8,2,535,16117200,16117200,0.0001,1839.5,3383900,0.2378,0,30,1,80.83
612,8,2,513,909000,909000,0.0001,288.28,83108,0,0,30,1,33.537
613,8,3,485,120303900,26746200,0.0001,3438.2,11821000,0.16427,0.06223,28,0,16.087
614,8,2,511,1610100,1610100,0.0001,196.21,38500,0.76169,0.15446,30,1,84.375
615,8,2,539,4610700,141300,0.0001,179.57,32245,0.14208,0,30,0,100
616,8,3,537,2093400,2093400,0.0001,1009.1,1018300,0.21673,0.11438,32,1,21.984
617,1,2,531,674100,674100,0.0001,354.43,125620,0,0,32,1,69.787
618,1,2,529,44903700,551700,0.0001,296.93,88168,0.70493,0.062553,32,0,80.598
619,1,2,532,1701000,650700,0.0001,372.38,138670,0.18616,0.11538,31,0,42.64
620,1,2,523,910800,910800,0.0001,295.94,87578,0,0,33,1,70.794
621,1,2,514,6747300,1004400,0.0001,456.58,208470,0.57107,0.16617,36,0,75.15
622,1,2,501,5681700,5681700,0.0001,644.68,415610,0.50555,0.0056783,38,1,76.758
623,27,2,478,1164600,1164600,0.0001,253.02,64018,0,0,38,1,100
624,9,2,503,605700,605700,0.0001,171.08,29269,0,0,38,1,85.16
625,27,2,464,703800,703800,0.0001,215.32,46362,0,0,37,1,100
626,18,2,427,16339500,16339500,0.0001,2085.7,4350200,0.29149,0.0042824,24,1,55.083
627,16,2,443,2381400,2381400,0.0001,335.81,112770,0.89352,0,26,1,91.337
628,26,2,401,2738700,2738700,0.0001,356.07,126780,0.67789,0,30,1,100
629,21,2,377,3121200,3121200,0.0001,314.06,98631,0.87685,0,27,1,59.309
630,26,2,399,3851100,130500,0.0001,105.57,11145,0.45157,0.36256,28,0,0
631,26,2,416,6938100,3357900,0.0001,290.42,84343,0.40342,0.008721,30,0,85.93
632,26,2,412,2683800,2683800,0.0001,366.45,134290,0.66978,0.00070965,32,1,97.53
633,26,2,408,5505300,998100,0.0001,576.48,332330,0.73001,0,30,0,96.951
634,25,2,350,5344200,481500,0.0001,380.73,144950,0.010241,0,39,0,82.328
635,32,2,361,1620900,1620900,0.0001,183.05,33507,0,0,43,1,94.36
636,32,2,347,1926900,60300,0.0001,98.36,9675.3,0,0,41,0,100
637,33,2,318,1154700,1154700,0.0001,211.96,44927,0.052649,0,44,1,89.764
638,47,2,269,1808100,174600,0.0001,214.5,46012,0.7796,0,49,0,73.64
639,47,3,259,4374000,4374000,0.0001,633.95,401900,0.55388,0.080385,43,1,18.444
640,53,3,186,34113600,620100,0.0001,412.08,169810,0.007967,0,50,0,47.288
641,53,3,201,1104300,1104300,0.0001,607.37,368900,9.06E-13,0,52,1,0.21969
642,62,2,195,2070000,2070000,0.0001,417.7,174470,0.00089433,0,54,1,55.871
643,62,2,202,6363000,6363000,0.0001,734.17,539000,0.36792,0.05647,55,1,51.614
